,All Negative,SharpShooters,Big Men without Creation,Not sure,TOV + STL,labels
38,0.346606672,0.359820217,-0.003319055,0.244262591,-0.584658623,2
39,-0.248560876,0.208361775,-0.237798676,0.799421847,-0.817725897,2
40,-0.398779273,-0.24808377,-0.543413281,-0.546759546,-0.37258172,1
41,-0.015421152,0.23018083,0.141221285,0.223788664,-0.617701292,2
42,-0.059743658,0.18786782,0.216177225,-0.50629127,-0.426346779,0
43,-0.133403659,-0.068250656,0.563511372,-0.830770612,-1.109263659,6
44,-0.025786862,0.276861697,0.177625388,-0.514014781,-0.768744826,6
45,0.210199028,0.022575259,-0.187320709,0.086267665,-0.677191973,2
46,0.028285071,-0.044840336,-0.284705669,-0.04643181,-1.034227371,6
47,0.140776098,-0.150075912,0.036329299,0.629064798,-0.810106993,2
48,-0.052718401,-0.045343459,-0.77579248,-0.269055128,-0.209794879,1
49,0.220656186,-0.13492918,-0.214748517,-0.316875696,-0.897176981,6
50,-0.196117669,0.140307784,-0.097707421,0.403364539,-0.545763373,2
51,0.156601161,0.204860836,-0.060796157,0.355023146,-0.586914778,2
52,0.231146663,-0.03272891,-0.091589093,0.541265845,-0.929962993,2
53,-0.26445964,0.183001816,-0.048157156,0.098968938,-0.725980401,2
54,0.215719104,0.065858901,-0.444554389,0.315101504,-0.938614964,6
55,0.220220476,0.084427893,-0.077662975,0.103437528,-0.974189281,6
56,0.1248959,0.093330503,0.080740988,-0.258660287,-0.75767827,6
57,-0.230773166,0.136685103,0.533293962,-0.76668179,-0.616336465,0
58,0.11537683,0.166102082,-0.087707937,-0.335594893,-0.495445371,0
59,-0.143905982,0.116612256,0.09292689,0.036647186,-0.608680844,2
60,-0.101340562,-0.426029742,-0.887738943,-0.318131089,-0.440780878,1
61,-0.061151646,0.119508088,0.212837517,-0.352150261,-0.458487391,0
62,-0.257229745,0.208456755,0.180425346,0.09238629,-0.582527161,2
63,0.315913498,0.172849625,-0.219479799,-0.128017619,-0.458338141,1
64,-0.324203014,0.247588754,-0.503404438,-0.481850684,-0.06849432,1
65,-0.122907668,0.132379144,0.180990577,-0.346305013,-0.184039831,0
66,0.237907887,-0.058870792,-0.186045259,-0.001127556,-0.925411224,6
67,0.502801716,0.158420205,-0.239137322,0.109233275,-0.683721781,6
68,0.130002141,0.034820557,0.003905237,0.454464972,-0.671688437,2
69,0.037166685,0.141463786,-0.167304084,0.350091875,-0.497046709,2
70,-0.046101913,-0.059889913,-0.012071282,-0.28255412,-0.613106847,0
71,0.061872825,-0.084186912,-0.175147146,0.347425938,-0.423552394,2
72,-0.239540473,0.317840606,-0.289493203,-0.478150666,-0.129141331,1
73,-0.202152014,-0.054313064,-0.078519344,0.452673495,-0.551150084,2
74,-0.01121743,0.03937912,0.145210177,-0.520770013,-0.581952691,0
75,0.499332368,-0.020608068,0.077075273,-0.003624633,-0.369119167,0
76,-0.285391688,-0.025717556,0.016504452,0.455401957,-0.62245512,2
77,0.189623058,-0.021588147,-0.041184142,-0.131657019,-0.574295402,0
78,0.006507874,0.12389046,0.008146018,-0.305595458,-0.64634347,0
79,0.398555994,-0.070584655,-0.238950804,0.015019953,-0.627048612,6
80,0.198468328,-0.123232663,0.038673371,0.036795095,-0.865271926,6
81,0.001445502,-0.104228735,-0.172154158,0.400247514,-0.690885663,2
82,-0.152298689,-0.008842826,0.017105922,0.211953536,-0.470415235,2
83,0.019654855,-0.126268446,0.241146922,-0.585295141,-0.932139754,6
84,0.171731949,-0.526396811,-0.173299402,-0.313913494,-0.750869632,6
85,0.177528918,-0.153312325,0.012255713,0.286838114,-0.486901045,2
86,-0.037136629,0.125319064,-0.061161324,0.544976056,-0.424179792,2
87,-0.040877879,0.010039806,0.24348551,-0.265173793,-0.453905106,0
88,0.102459073,-0.054025114,-0.147366837,-0.187648878,-0.673022628,6
89,0.090048045,0.153245062,0.003259018,-0.373589277,-0.648746967,0
90,-0.224713862,-0.159256339,-0.915311813,-0.371068209,-0.272150397,1
91,0.085157931,0.202018142,0.303631932,-0.384608686,-0.55401063,0
92,0.009977996,0.225595891,0.138230711,-0.35762924,-0.20166254,0
93,0.407371879,0.224012077,-0.134522691,-0.025776386,-0.457587242,2
94,0.062737629,-0.132309556,0.072306484,-0.046830416,-0.58327806,2
95,-0.312612236,0.04465282,0.122458041,0.495314658,-0.516838193,2
96,0.021155879,-0.108642936,-0.630385637,-0.22939387,-0.208420515,1
97,-0.19740212,-0.249252558,-0.606081545,-0.326143622,-0.178542495,1
98,0.484472871,-0.251448452,0.075726599,0.020124123,-0.780779004,6
99,-0.096975282,-0.070634246,-0.130698264,0.684140205,-0.562802076,2
100,-0.134340271,0.075869977,0.044367105,0.50716126,-0.411817789,2
101,0.008221298,-0.059855819,-0.658825994,-0.239008844,-0.130223989,1
102,0.232083678,0.127068967,-0.166110873,0.2648139,-0.954679608,6
103,-0.030271783,0.309803456,-0.089150414,0.482449591,-0.243206263,2
104,-0.086302973,0.087072968,0.027565986,0.226938114,-0.540740848,2
105,0.027805686,-0.025868475,-0.1681353,0.055297866,-0.522241116,2
106,-0.2256051,0.297732949,0.166462749,0.482536614,-0.354858041,2
107,-0.167565197,-0.380407035,0.004963756,0.402385592,-0.961992621,6
108,0.138706952,-0.253776491,0.055574059,0.223780051,-0.572256327,2
109,-0.239512131,-0.224892676,-0.367632866,-0.319830239,0.06329006,1
110,-0.0738023,0.198807836,0.215754598,-0.035394967,-0.412772655,0
111,-0.061630905,-0.167058289,-0.066428527,-0.419081032,-0.470624804,0
112,0.137083799,-0.211932242,-0.170030192,-0.021178469,-0.351254225,1
113,-0.191877514,0.701381981,0.508278608,-0.663596451,-0.126945615,0
114,0.025382385,-0.123174369,0.041609108,0.430239022,-0.43528831,2
115,-0.027414218,-0.183030307,0.060281336,-0.19007501,-0.502568722,0
116,0.124757797,0.048775733,-0.222857729,0.359600544,-0.413202286,2
117,0.021030262,0.358364642,-0.000108287,-0.32154578,-0.1108253,0
118,-0.088456698,-0.194433272,-0.50361383,-0.236391798,0.012322605,1
119,-0.197448552,-0.17057687,0.634562492,-0.631094873,-0.368184686,0
120,-0.08398328,0.149380296,0.009591952,0.067889407,-0.08130908,2
121,-0.19792901,0.443840981,0.047819734,0.28373611,-0.482618809,2
122,0.216925561,0.027537227,-0.304115385,-0.130642682,-0.211706996,1
123,-0.048848204,0.327275932,0.005117416,0.31838572,-0.343222141,2
124,-0.216143012,0.133663327,-0.537232637,-0.324859351,0.128764212,4
125,0.168443441,0.249584079,-0.013176829,0.06702356,-0.364642501,2
126,-0.455050677,-0.051687062,0.251454145,0.845454872,-0.390317202,2
127,0.214419782,-0.194221616,-0.424613982,-0.081081271,-0.192487478,1
