PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Mel Hutchins,437,16574,4851,1931,4962,38.9,-,-,-,989,1470,67.3,-,-,4186,1298,-,-,-,38.9,43.2
John Salley,748,16524,5228,1871,3697,50.6,3,14,21.4,1483,2076,71.4,1226,2130,3356,916,451,983,949,50.6,56.7
CJ McCollum,528,16481,9971,3820,8403,45.5,1186,2983,39.8,1145,1387,82.6,319,1453,1772,1729,456,201,900,52.5,55.3
Jack Coleman,633,16479,6721,2813,6763,41.6,-,-,-,1095,1575,69.5,-,-,5186,1749,-,-,-,41.6,45.1
Dwight Jones,766,16452,6230,2459,5216,47.1,1,2,50,1311,1772,74,1456,3057,4513,911,429,397,771,47.2,52
Terry Mills,678,16424,7175,2847,6227,45.7,533,1387,38.4,948,1214,78.1,1029,2651,3680,891,397,296,851,50,53.1
Nick Young,720,16419,8194,2894,6920,41.8,1039,2764,37.6,1367,1636,83.6,260,1167,1427,687,394,135,711,49.3,53.6
Bryant Stith,586,16416,5946,2021,4767,42.4,306,931,32.9,1598,1900,84.1,605,1378,1983,1178,594,130,776,45.6,53.1
Brandon Bass,758,16410,6575,2558,5125,49.9,12,58,20.7,1447,1740,83.2,1139,2309,3448,608,295,479,718,50,55.8
Jon Koncak,784,16409,3520,1444,3073,47,19,84,22.6,613,1027,59.7,1064,2792,3856,785,542,791,624,47.3,49.9
Roy Hibbert,662,16389,6611,2622,5641,46.5,6,24,25,1361,1802,75.5,1527,2646,4173,885,241,1146,1038,46.5,51.4
Charles Smith,564,16377,8107,2993,6300,47.5,18,93,19.4,2103,2718,77.4,1192,2054,3246,798,462,789,1036,47.7,54.1
Chris Dudley,886,16322,3473,1391,3380,41.2,0,5,0,691,1508,45.8,2234,3223,5457,375,334,1027,740,41.2,42.9
David Thompson,509,16305,11264,4213,8365,50.4,23,83,27.7,2815,3616,77.8,737,1184,1921,1631,459,407,1129,50.5,56.6
Kurt Rambis,880,16299,4603,1802,3376,53.4,0,14,0,999,1450,68.9,1640,3321,4961,931,761,456,1033,53.4,57.3
